ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
"2623","Occam","Wavetable","Dual wavesample synth","3.333","https://plugins4free.com/get_plug/EVM-Occam.zip","7.1","Windows x86"
"2625","Placebo MD200","Ambient","Wavesample based synth","3.75","https://plugins4free.com/get_plug/EVM-Placebo.zip","3.8","Windows x86"
"2627","b6","Synthesizers","Andromeda A6 emulation","4.4","https://plugins4free.com/get_plug/b6a.zip","12.5","Windows x86"
"2626","80-vox","Synthesizers","Yamaha CS-80 emulation","4.375","https://plugins4free.com/get_plug/KB-80-vox_IL_AL.zip","1.9","Windows x86"
"2630","Chorg 770 DV","Synthesizers","Korg 770 emulation","4.4","https://plugins4free.com/get_plug/KB-Chorg-770 DV.zip","1.8","Windows x86"
"2629","Chorg DS-600","FM","Korg DS-8 emulation","4.2","https://plugins4free.com/get_plug/KB-Chorg-DS-600.zip","2.4","Windows x86"
"2614","GeKo","Hybrid/Other","16 osc additive synth","null","https://plugins4free.com/get_plug/EVM-Geko.zip","0.9","Windows x86"
"2628","Cassini","Synthesizers","Moog Voyager emulation","3.556","https://plugins4free.com/get_plug/Cassini.zip","1.7","Windows x86"
"2634","CyRinx","Synthesizers","Synton Syrinx emulation","null","https://plugins4free.com/get_plug/KB-CyRinx.zip","5.6","Windows x86"
"2636","Insoniq EZQ-1","Synthesizers","Ensoniq SQ-80 / ESQ-1 emulation","3.5","https://plugins4free.com/get_plug/KB-Insoniq-EZQ-1.zip","2","Windows x86"
"2635","eXpando","Synthesizers","Oberheim Xpander emulation","4","https://plugins4free.com/get_plug/KB-eXpando.zip","2","Windows x86"
"2637","Insoniq EZQ-FM","Synthesizers","Ensoniq SQ-80 / ESQ-1 emulation","0","https://plugins4free.com/get_plug/KB-Insoniq-EZQ-FM.zip","1.9","Windows x86"
"2642","Matrix Six1","Synthesizers","Oberheim Matrix Six emulation","4.75","https://plugins4free.com/get_plug/KB-Matrix-Six1.zip","2","Windows x86"
"2639","Kroma Duette","Synthesizers","Rhodes Chroma emulation","4.75","https://plugins4free.com/get_plug/KB-KROMA-duette.zip","1.8","Windows x86"
"2638","Joker","Hybrid/Other","u-he ACE emulation","2.6","https://plugins4free.com/get_plug/KB-Joker.zip","2.2","Windows x86"
"2649","Polly","Synthesizers","Moog Polymoog emulation","3.667","https://plugins4free.com/get_plug/KB-Polly.zip","1.7","Windows x86"
