Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
1973,James Blunt,2007,Rock,123,67,72,77,72,WIP,,;pop;alternative;love;dance,1BV0m40U0M4t1SLIsDnwZl
A Hard Day's Night,Beatles,1964,Rock,139,82,55,76,51,,,classic rock;psychedelic rock;dance;jive;fast;groovy;love;oldies;retro,1pctwlBtIcKIjQMzsVcGHB
A Little Less Conversation,Elvis Presley,1968,Rock,114,80,58,84,56,WIP,,rockabilly;rock and roll;dance;jive;fast;groovy;love;oldies;retro,47y8hRlWLEJ4VafE6LMjEZ
A Little More,Eric Hutchinson,2014,Rock,80,74,64,94,39,WIP,,;fast;dance;groovy;alternative,3AH12fVi34vJVqriMpM6Bo
A Man For All Seasons,Robbie Williams,2003,Soundtrack,124,74,58,82,39,WIP,,soundtrack;dance;groovy,3RIm56NRLSZYo1xgHlbPH4
A Sky Full Of Stars,Coldplay,2014,Rock,125,68,55,16,86,,,;alternative,0FDzzruyVECATHXKHFs9eJ
A Thousand Miles,Vanessa Carlton,2002,Pop,95,83,56,27,78,,,;dance;groovy;love;waltz,4w1lzcaoZ1IC2K5TwjalRP
A Thousand Years,Christina Perri,2011,Soundtrack,139,41,42,16,83,,,soft pop;love;slow,6lanRgr6wXibZr8KgzXxBl
Adventure Of A Lifetime,Coldplay,2015,Pop,112,92,64,53,83,,,;dance;alternative,69uxyAqqPIsUyTO8txoP2M
Africa,Toto,1982,Rock,93,37,67,73,86,,,yacht rock;soft rock;retro;oldies,2374M0fQpWi3dLnB54qaLX
After Midnight,J J Cale,1966,Rock,96,31,69,52,61,WIP,,blues;blues rock;roots rock;acoustic;groovy;oldies;retro,1PC5GV3OaoXx5em8ttQOMI
Aicha,Outlandish,2002,RnB,87,64,75,61,56,WIP,,danish pop;,7mze3mJmu79AJu8SnS37pS
All About That Bass,Meghan Trainor,2014,Doo-wop,134,89,81,96,69,,,;dance;jive;groovy,5jE48hhRu8E6zBDPRSkEq7
All About You,McFly,2005,Rock,130,56,54,30,56,,,;love;pop,0ElmwRAsaxaUZXnMbaSllH
All I Have To Do Is Dream,Everly Brothers,1958,Rock 'n' roll,96,46,53,53,67,,,doo-wop;love;slow;oldies;retro;sweet,7dblNGnRXEBrVJunazs2U5
All Star,Smash Mouth,1999,Rock,104,87,73,78,78,,,;alternative,3cfOd4CMv2snFaKAnMdnvK
Angel Of The Morning,Juice Newton,1981,Country,76,31,45,34,63,WIP,,;love;slow;oldies;retro,11y8GSP2ASv8S9n0FiiDva
Angels,Robbie Williams,1997,Rock,150,59,43,26,64,,,;love;slow,7CKbqqrs0AS1si1ZgaQdcj
Annie's Song,John Denver,1974,Rock,146,31,30,46,68,,,folk;love;slow;oldies;retro;waltz,4J0DbyODwZJcmIAiTSJfMF
Another Day In Paradise,Phil Collins,1989,Rock,102,57,78,37,80,,,soft rock;alternative;groovy,1NCuYqMc8hKMb4cpNTcJbD
Answer Me My Love,Inger Marie,2011,Jazz,89,8,63,37,14,WIP,,vocal jazz;smooth jazz;,3NKzaAQXoHXhXqMHN9IsRb
Antonio's Song,Till Brönner,1977,Jazz,114,39,68,65,26,WIP,,smooth jazz;jazz;groovy;jazz;slow;oldies;retro,51FAWuc1iPdM06S65Plx11
April Come She Will,Simon and Garfunkel,1966,Rock,102,19,49,35,60,WIP,,folk rock;folk;acoustic;retro;oldies,0djZ2ndRfAL69WYNra5jRC
Are You Gonna Be My Girl,Jet,2003,Rock,105,96,61,60,12,,,;dance;love;fast,305WCRhhS10XUcH6AEwZk6
Arms,Christina Perri,2011,Pop,145,76,46,25,59,WIP,,soft pop;love,5u0YB9bpmgEPS2bPhwfRFV
At My Worst,Pink Sweat$,2021,RnB,92,42,81,67,67,WIP,,;love;dance,0ri0Han4IRJhzvERHOZTMr
Ave Maria,Beyonce,2008,Pop,105,40,35,20,46,WIP,,;love;groovy,1j9HwUMSkRUeVFRWlHcFsy
Baby One More Time,Britney Spears,1998,Pop,93,70,76,91,81,,,pop;love;groovy;dance,3MjUtNVVq3C8Fn0MP3zhXa
Bachelor Boy,Cliff Richard,1962,Pop,201,23,36,90,17,,,;oldies;retro;dance;waltz;sweet;fast,1vNXvCxrcKg8Mq6KHAV6ZF
Beautiful Tango,Hindi Zahra,2010,Soul,126,38,75,65,18,WIP,,tango;alternative;acoustic,5AmekBD8x9RIu9MMX81aYz
Believer,Imagine Dragons,2017,Rock,125,78,78,67,86,,,;alternative,0pqnGHJpmpxLKifKRmU6WP
Besame Mucho,Andrea Bocelli,1940,Latin,95,50,52,38,63,,,opera;love;slow;jazz;bossa;oldies;retro,5WHnE8MsLFHqSUwecrs7WO
Better When I'm Dancing,Meghan Trainor,2015,Pop,128,79,76,87,50,,,;dance;fast,0BMyRHOFOvHjAEzeNfQIeN
Big Bang,Rock Mafia,2010,Pop,96,82,90,89,60,WIP,,;pop;dance;alternative,0SGojwNP2zUrgDyeoBQxYO
Big Yellow Taxi,Joni Mitchell,1970,Rock,86,47,61,97,46,,,folk;singer-songwriter;folk rock;pop;acoustic;alternative;retro;oldies,1wfzOH54LylpiG8hAOjKcS
Billie Jean,Michael Jackson,1982,Pop,117,65,92,85,78,,,;,5ChkMS8OtdzJeqyybCc9R5
Biomusicology,Koji,2001,Alternative,145,32,51,36,0,WIP,,;groovy;alternative;acoustic;love,2WzdWQCJlxGpNnN1a69o08
Bistro Fada,Stephane Wrembel,2011,Jazz,99,37,76,86,52,,,french jazz;instrumental;waltz,08T5wMbEnPN8ghT8o24KY6
Bitter Sweet Symphony,Verve,1997,Rock,171,92,36,52,83,,,britpop;shoegaze;alternative,57iDDD9N9tTWe75x6qhStw
Black Or White,Michael Jackson,1991,Pop,115,93,76,96,62,,,;,6wdviVWctiZnY6tVn6bh6A
Blackbird,Beatles,1968,Folk,94,13,69,37,76,,,classic rock;psychedelic rock;oldies;retro;acoustic;alternative;folk,5jgFfDIR6FR0gvlA56Nakr
Blinding Lights,Weeknd,2019,RnB,171,73,51,33,89,,,;groovy;dance;fast;love,0VjIjW4GlUZAMYd2vXMi3b
Blowin' In The Wind,Peter Paul and Mary,1962,Folk,155,8,38,56,52,,,folk;folk rock;acoustic;oldies;retro;folk,62Yu8QL1g9pdbvN4XL9Rah
Brandy,Looking Glass,1972,Rock,125,63,72,83,77,,,yacht rock;groovy;dance;fast;oldies;retro,2BY7ALEWdloFHgQZG6VMLA
